institution,student_staff_ratio,year
Slovak University of Technology in Bratislava,15.3,2016
Sogang University,24.1,2016
Sophia University,24.3,2016
University of South Africa,108.5,2016
Southern Federal University,9,2016
University of Southern Mississippi,18.5,2016
University of Southern Queensland,29.2,2016
Suez Canal University,6,2016
Sultan Qaboos University,9,2016
Suranaree University of Technology,32.9,2016
University of Szeged,13.8,2016
Taipei Medical University,11.1,2016
Taras Shevchenko National University of Kyiv,8.2,2016
Technical University of Madrid,13.8,2016
University of Tehran,27,2016
University of Texas at El Paso,29,2016
Texas Tech University,20.9,2016
Tokai University,12.7,2016
Tokushima University,8.9,2016
Tokyo University of Marine Science and Technology,11.1,2016
Tokyo University of Science,25.7,2016
Tomsk State University,9.9,2016
Tottori University,8.2,2016
Toyohashi University of Technology,9.3,2016
Universiti Kebangsaan Malaysia,11.8,2016
Universiti Putra Malaysia,12.2,2016
Universiti Sains Malaysia,14.8,2016
Universiti Teknologi MARA,16.8,2016
Ural Federal University,10.1,2016
V.N. Karazin Kharkiv National University,9.7,2016
University of Vigo,19,2016
Vilnius University,14.2,2016
Warsaw University of Technology,14.5,2016
Waseda University,16.9,2016
University of West Bohemia,21.5,2016
University of the West of England,21.4,2016
West University of Timişoara,19,2016
University of Westminster,21,2016
Xidian University,16.4,2016
Yeungnam University,15.3,2016
Yıldız Technical University,28.7,2016
Yokohama City University,3.7,2016
Yokohama National University,12.1,2016
Yuan Ze University,20.6,2016
